OTUId	sample_S2-P_Ind-07	sample_S2-P_Ind-06	sample_S2-P_Ind-05	sample_S2-P_Ind-04	sample_S2-P_Pmax-10	sample_S2-P_Pmax-08	sample_S2-P_Pmax-05	sample_S2-P_Pmax-04	sample_S2-D_Ind-01	sample_S2-D_Psoil-04	sample_S2-P_Pmax-01	sample_S2-P_PO4-10	sample_S2-D_Pmax-10	sample_S2-P_PO4-09	sample_S2-D_Psoil-06	sample_S2-P_Psoil-09	sample_S2-P_Psoil-08	sample_S2-P_Psoil-06	sample_S2-D_Pmax-01	sample_S2-P_Psoil-04	sample_S2-P_Psoil-03	sample_S2-P_Psoil-02	sample_S2-P_Psoil-01	sample_S2-P_PO4-08	sample_S2-D_Pmax-09	sample_S2-D_Pmax-08	sample_S2-D_PO4-10	sample_S2-P_PO4-03	sample_S2-D_PO4-09	sample_S2-D_Ind-02	sample_S2-D_PO4-08	sample_S2-D_Ind-03	sample_S2-D_PO4-06	sample_S2-D_PO4-05	sample_S2-D_Ind-05	sample_S2-D_Ind-09	sample_S2-D_PO4-02	sample_S2-D_PO4-01	sample_S2-P_PO4-06	sample_S2-P_PO4-02	sample_S2-D_Psoil-01	sample_S2-D_Psoil-07	sample_S2-D_Psoil-08	sample_S2-D_Pmax-02	sample_S2-D_Pmax-06	sample_S2-P_PO4-04	sample_S2-P_Ind-10	sample_S2-P_Ind-09	sample_S2-P_Ind-08	sample_S2-P_Ind-03	sample_S2-P_Ind-02	sample_S2-P_Ind-01	sample_S2-P_Pmax-09	sample_S2-P_Pmax-07	sample_S2-P_Pmax-06	sample_S2-P_Pmax-03	sample_S2-P_Pmax-02	sample_S2-D_Psoil-03	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-P_Psoil-10	sample_S2-D_Psoil-09	sample_S2-P_Psoil-07	sample_S2-D_Psoil-10	sample_S2-P_PO4-01	sample_S2-P_Psoil-05	sample_S2-D_Pmax-05	sample_S2-D_Pmax-04	sample_S2-D_Pmax-03	sample_S2-D_Pmax-07	sample_S2-P_PO4-07	sample_S2-D_PO4-07	sample_S2-D_Ind-06	sample_S2-D_Ind-04	sample_S2-D_PO4-04	sample_S2-D_Ind-07	sample_S2-D_PO4-03	sample_S2-D_Ind-08	sample_S2-D_Ind-10	sample_S2-P_PO4-05
OTU_183;size=632;	45	68	31	29	4	5	2	8	6	11	11	10	0	4	3	3	9	0	1	1	1	1	1	9	0	0	5	12	9	4	4	6	6	1	2	2	4	10	9	13	6	4	2	0	2	13	42	41	38	44	20	60	5	2	7	3	3	8	2	7	5	1	24	2	14	1	3	0	1	0	2	8	5	5	1	3	7	3	5	14
OTU_1243;size=160;	35	43	31	26	46	40	29	37	46	52	50	99	15	50	42	19	24	22	31	5	19	3	31	80	13	16	90	54	72	11	27	23	55	47	21	24	46	157	119	95	68	72	35	20	37	171	14	24	23	21	12	44	46	48	23	33	29	48	19	39	47	91	52	31	92	17	9	11	22	15	19	60	19	19	48	11	60	12	18	95
OTU_1741;size=69;	20	20	13	10	35	18	0	1	6	0	29	21	1	12	4	0	0	0	0	0	0	0	1	20	0	1	2	13	1	1	0	2	1	0	2	2	0	2	26	26	0	0	1	0	0	43	9	9	15	6	7	29	18	43	0	1	0	0	0	0	0	0	0	0	25	0	0	0	0	2	11	2	2	3	0	0	0	0	1	12
OTU_150;size=269;	6	0	6	1	8	17	0	1	6	12	10	6	1	1	23	11	12	3	3	4	9	7	17	7	1	4	4	6	2	0	1	3	0	2	5	2	0	1	3	3	19	17	7	6	13	7	3	5	0	3	5	4	6	6	5	5	7	10	9	15	13	5	20	9	1	2	3	5	8	2	1	1	1	0	0	3	1	4	1	2
OTU_195;size=375;	10	6	7	5	15	13	10	10	8	16	8	3	4	2	23	8	7	9	2	2	4	4	11	2	0	1	1	2	1	1	1	7	1	1	3	6	2	5	6	3	25	15	8	5	7	1	9	2	8	2	4	10	8	14	8	12	5	5	3	13	16	17	18	16	4	2	1	5	6	3	0	2	4	2	0	1	2	5	6	1
OTU_1221;size=45;	2	5	4	0	2	0	1	1	1	3	2	5	0	2	3	3	0	1	2	1	2	3	1	4	0	0	6	1	2	0	1	1	2	0	1	1	1	2	5	1	7	4	3	1	3	7	0	2	3	2	3	5	0	4	4	1	1	2	1	6	3	9	4	4	5	2	0	4	0	0	1	4	0	0	1	1	3	0	1	3
OTU_24;size=8478;	116	125	82	63	159	123	68	124	161	103	192	48	28	39	137	88	63	78	42	46	119	77	135	82	20	22	48	35	37	33	21	54	44	32	67	81	40	74	72	77	234	153	108	55	93	134	76	58	73	95	53	156	140	204	91	79	76	63	23	110	121	151	142	98	65	64	18	39	56	23	16	28	55	80	29	43	32	52	80	55
OTU_258;size=181;	11	8	4	5	2	1	1	0	3	1	0	2	1	0	0	0	0	0	1	0	2	1	2	3	0	0	0	3	1	2	1	2	1	1	2	5	3	2	3	1	0	0	1	0	0	5	3	3	5	5	1	10	0	1	1	4	1	6	3	1	2	1	0	3	2	1	0	1	1	1	0	3	3	1	0	2	1	0	3	1
OTU_39;size=2803;	70	87	66	47	75	49	25	54	170	31	87	46	75	33	29	8	8	9	122	3	15	14	52	41	56	46	85	30	75	37	22	49	52	56	71	102	38	132	65	95	16	36	29	29	58	127	59	62	54	44	33	120	69	65	29	25	36	17	6	15	39	45	27	15	57	20	16	27	30	66	16	47	60	62	53	59	68	45	62	48
OTU_637;size=150;	13	14	7	7	6	6	7	17	26	11	8	2	14	3	8	5	6	7	21	2	22	8	39	6	13	14	4	4	3	3	2	10	3	4	6	11	1	5	5	8	13	30	9	1	7	9	10	5	6	5	4	14	4	13	10	9	8	7	1	12	17	25	13	9	8	2	3	4	2	15	1	3	7	14	2	8	1	16	13	3
OTU_32;size=1491;	13	23	14	13	9	9	2	0	169	0	15	55	8	25	4	0	0	0	12	0	0	1	0	56	6	6	28	38	21	32	10	67	13	11	84	81	3	32	60	70	1	0	0	7	21	130	20	5	14	17	5	15	15	15	1	3	0	0	0	0	0	0	0	1	83	0	4	16	15	5	16	9	85	75	13	57	14	56	94	64
OTU_194;size=213;	21	21	12	9	56	37	8	16	46	16	59	15	10	13	16	8	8	18	7	6	16	20	48	12	3	2	5	15	1	6	5	11	5	2	10	12	4	8	14	24	15	16	7	7	18	34	17	10	8	17	16	16	59	48	9	9	10	18	11	15	49	13	26	10	15	14	3	4	4	8	3	6	9	11	4	11	6	4	12	12
OTU_38;size=6171;	62	73	45	33	101	78	167	280	215	276	159	109	40	52	315	87	59	57	46	23	41	49	21	112	20	30	103	94	89	41	46	76	87	69	93	91	84	200	137	143	374	305	215	114	214	237	40	35	40	48	17	86	86	112	186	203	184	262	143	253	20	376	167	244	126	92	49	91	122	33	14	68	89	113	68	72	99	69	96	125
OTU_357;size=90;	4	0	4	0	3	5	3	2	5	7	3	1	0	1	4	2	2	1	1	1	2	0	5	0	3	0	0	0	1	1	2	1	1	0	1	1	0	5	2	2	6	8	2	0	2	3	0	2	3	2	0	3	0	1	2	1	1	5	2	5	4	8	3	3	1	2	2	1	2	3	2	1	3	4	0	1	2	1	2	0
OTU_25;size=4836;	33	33	26	17	135	99	33	86	35	52	147	81	7	41	18	10	19	38	8	16	66	34	75	74	4	1	31	64	14	5	12	12	14	14	12	20	15	41	88	103	31	18	7	33	42	178	31	20	19	20	14	41	133	141	58	45	42	32	16	39	58	7	21	24	98	37	13	18	43	6	17	17	13	17	14	14	20	10	17	79
OTU_1856;size=13;	153	165	111	76	72	65	36	74	174	67	82	51	43	20	45	27	31	31	85	14	55	36	89	33	52	46	34	21	19	37	8	72	16	15	79	111	14	29	41	32	118	45	30	36	78	64	85	95	99	99	64	204	87	79	42	43	43	68	39	106	31	45	71	120	44	34	8	29	30	74	9	18	83	89	17	58	24	49	101	34
OTU_131;size=1288;	18	45	18	20	16	19	16	23	36	36	32	1	26	1	36	17	22	12	38	10	9	8	23	1	27	16	4	2	2	15	0	12	3	4	14	28	2	8	2	6	69	32	27	12	14	8	20	15	19	11	19	30	24	29	11	15	23	15	16	41	6	31	24	52	1	14	4	7	16	19	0	1	21	14	1	11	2	12	16	6
OTU_218;size=900;	44	39	27	25	25	23	14	13	44	2	37	241	4	147	4	2	1	2	3	0	0	3	0	261	4	2	40	216	33	11	14	20	24	28	16	27	23	80	297	332	4	1	0	7	25	552	21	27	26	37	14	46	24	31	16	12	15	1	1	5	0	0	6	2	270	3	7	11	14	2	38	15	13	16	27	12	26	17	32	221
OTU_75;size=1305;	24	17	13	8	26	36	17	23	10	20	30	14	2	8	15	6	13	22	3	4	27	23	58	8	1	1	10	12	9	5	0	7	7	6	10	10	9	18	26	16	7	18	10	4	4	38	9	10	6	10	8	21	30	36	18	17	18	15	10	22	67	17	28	9	29	10	2	8	6	3	3	6	8	4	3	2	3	5	3	16
OTU_315;size=223;	3	6	3	2	9	7	3	9	4	7	4	0	1	0	3	3	6	6	2	2	6	4	1	0	2	2	2	0	0	1	0	4	0	0	3	1	0	0	3	0	6	0	0	2	7	4	1	1	2	2	0	4	0	7	1	6	1	3	0	1	4	0	4	2	1	1	1	1	1	1	1	2	2	2	1	2	1	1	4	0
OTU_50;size=2017;	16	18	13	8	18	12	21	38	53	57	19	18	11	13	45	1	8	2	17	2	3	1	6	20	10	14	42	9	32	5	24	16	25	24	26	25	19	61	25	13	36	106	44	22	43	44	14	4	14	12	13	26	16	18	35	28	31	28	22	38	1	117	7	24	19	11	9	23	27	6	2	20	18	18	24	16	31	20	16	12
OTU_1606;size=32;	2	2	0	1	0	0	0	0	3	0	1	3	2	1	0	0	0	0	1	0	3	0	1	1	0	0	1	1	3	0	0	3	1	3	2	1	0	3	2	1	0	1	1	2	0	5	0	1	1	3	0	3	1	0	1	0	0	0	0	2	1	4	0	0	0	0	0	1	0	0	1	2	0	1	0	0	4	0	0	4
OTU_424;size=61;	2	3	6	3	17	12	1	5	4	1	11	16	0	11	0	1	0	0	2	0	0	0	1	24	1	1	3	10	1	1	0	1	4	1	3	1	4	5	17	22	1	0	0	4	6	31	2	8	7	4	7	7	10	11	8	5	2	0	0	0	0	2	1	0	15	0	2	1	8	2	3	1	0	0	3	0	5	0	1	17
OTU_415;size=104;	9	9	7	5	4	3	3	9	8	2	5	3	0	1	3	0	0	7	0	2	7	6	21	6	2	0	2	2	1	1	0	1	2	0	3	1	2	2	6	6	7	4	3	2	1	10	6	2	2	4	9	8	7	5	3	10	3	4	0	2	8	7	3	1	5	2	0	2	1	0	5	2	2	1	2	2	1	0	3	12
OTU_1837;size=4;	2	0	0	0	0	0	0	2	3	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	2	1	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_2563;size=13;	24	35	27	17	13	12	13	26	50	58	22	48	16	27	43	19	18	13	13	5	33	26	63	42	6	9	55	26	48	9	23	20	28	24	22	23	23	71	55	30	67	69	30	16	20	69	13	19	22	14	19	34	17	26	21	11	16	24	18	74	30	73	35	35	54	15	6	8	14	10	16	31	16	36	29	12	38	32	26	23
OTU_97;size=540;	12	12	11	2	32	18	5	8	12	53	23	0	4	0	29	5	3	12	2	15	51	29	24	0	1	1	2	1	1	3	1	4	1	0	6	3	0	1	0	2	18	6	4	5	13	2	8	2	9	9	8	11	25	24	13	10	4	22	21	60	16	1	5	13	4	21	4	8	5	0	0	1	5	1	0	5	1	3	2	0
OTU_1018;size=50;	5	5	7	2	6	6	4	1	10	2	12	8	1	3	2	1	5	3	1	2	3	3	16	7	0	1	1	2	2	1	1	2	2	0	6	0	2	5	7	10	3	3	3	0	3	5	3	1	3	4	0	5	4	9	5	0	1	2	1	1	32	5	0	2	8	0	0	2	1	1	3	4	1	5	1	3	3	4	6	7
OTU_19;size=8562;	65	54	50	39	166	149	67	101	101	48	198	264	33	136	41	26	38	38	44	18	41	31	111	224	19	25	188	204	114	18	69	37	142	85	38	49	90	265	275	290	43	61	30	47	63	518	46	23	44	33	28	52	151	195	69	75	57	35	20	62	71	62	61	20	299	28	19	17	43	30	78	100	43	39	78	25	130	35	60	210
OTU_2966;size=2;	1	0	0	0	1	0	0	3	1	5	1	2	0	0	1	1	1	0	1	1	0	0	2	0	0	0	3	3	1	0	0	1	1	0	0	1	1	1	2	2	4	1	1	0	1	2	1	0	0	0	0	2	1	0	0	0	1	4	3	0	2	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	2
OTU_1838;size=9;	3	0	0	1	0	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	1	2	3	0	0	0	0	0	6	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	2	0
OTU_3783;size=4;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1106;size=82;	9	10	13	5	21	31	21	49	11	30	27	6	4	0	26	25	21	28	4	7	20	16	18	2	1	5	2	2	3	3	0	2	2	0	3	4	1	5	5	2	32	17	14	9	8	11	5	9	4	9	3	18	20	22	19	27	33	31	19	32	20	14	29	16	8	16	4	5	6	3	2	3	6	7	0	2	1	1	6	1
OTU_68;size=754;	26	25	12	16	49	32	10	27	6	7	48	21	2	10	4	3	5	4	4	0	3	1	10	40	2	0	9	29	1	2	1	0	4	4	1	2	1	11	41	43	7	3	3	1	3	66	13	10	19	17	11	33	46	50	14	9	16	9	1	1	19	4	6	0	28	10	3	3	1	1	10	2	4	1	1	2	1	0	3	48
OTU_216;size=635;	25	33	37	21	16	21	15	16	58	26	24	34	37	26	19	10	9	10	40	3	5	3	25	41	26	29	83	42	59	23	28	20	63	50	26	34	47	140	62	69	13	41	19	11	24	102	34	17	25	29	24	40	20	26	14	13	5	12	5	21	17	43	32	12	52	11	3	6	7	30	12	58	32	30	39	23	73	15	38	48
OTU_504;size=60;	2	1	1	1	0	0	3	1	1	1	0	0	0	2	1	1	1	1	0	1	6	1	4	2	0	1	4	3	2	0	0	1	0	0	0	2	0	2	2	1	2	2	2	1	0	5	2	0	1	1	1	4	0	2	2	2	0	0	0	3	9	3	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2
OTU_5;size=16236;	61	89	60	44	324	260	45	73	48	737	436	25	168	16	758	612	721	588	209	403	765	710	397	24	95	105	18	19	12	12	3	22	5	2	23	27	8	12	17	21	401	253	164	22	43	33	49	43	60	36	38	101	302	376	53	44	62	684	340	1207	336	1	1323	389	29	456	12	18	21	130	4	10	30	28	6	16	5	17	37	23
OTU_66;size=1151;	12	17	15	7	31	25	10	16	28	11	38	38	25	10	3	6	3	5	48	1	4	0	9	39	20	13	37	33	30	9	9	7	28	20	16	15	31	71	45	51	4	7	6	8	11	102	14	9	9	14	8	19	34	27	11	8	9	7	7	19	10	4	3	3	45	1	5	11	10	18	4	25	21	22	20	11	43	9	29	40
OTU_40;size=4031;	130	179	147	85	138	113	173	281	133	68	181	342	60	167	84	58	50	46	88	18	80	75	65	341	40	47	180	229	172	35	88	61	98	108	62	76	131	261	451	409	33	31	20	94	132	660	128	111	98	102	69	132	129	181	243	225	238	42	39	86	56	7	117	19	370	72	59	98	127	48	71	91	71	82	109	43	154	42	56	335
OTU_544;size=86;	1	0	0	0	1	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	12	0	0	0	5	0	0	0	0	1	0	0	0	1	1	7	8	0	0	0	0	0	17	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	3	0	0	1	0	0	4
OTU_1254;size=44;	7	5	5	2	0	2	5	6	12	3	2	0	2	0	3	2	2	0	5	1	6	5	6	0	1	0	4	0	3	6	2	6	0	1	4	8	3	9	3	2	11	10	2	1	4	3	4	5	5	3	3	8	1	5	6	3	5	5	1	8	5	19	5	4	4	4	0	4	1	0	0	2	6	10	1	5	6	8	11	1
OTU_98;size=1254;	6	9	7	5	9	4	17	22	6	26	5	25	4	6	26	7	12	7	4	7	10	14	23	19	2	3	20	15	7	2	3	5	12	8	3	4	17	22	27	25	17	15	12	5	11	62	12	9	3	4	8	16	8	7	13	21	22	15	5	34	17	21	24	15	35	12	2	2	5	4	4	11	7	2	10	2	10	2	5	16
OTU_3507;size=4;	11	12	5	4	10	5	2	6	3	0	9	13	1	7	3	1	2	3	4	0	0	0	0	15	2	2	2	15	6	1	2	2	8	2	1	1	0	7	16	13	0	2	0	0	4	36	4	6	7	4	7	9	5	14	3	4	5	0	0	0	1	0	0	0	20	2	1	0	0	3	3	1	1	1	4	0	3	0	1	15
OTU_3487;size=14;	3	4	2	1	2	0	1	5	7	10	4	3	3	1	10	1	2	1	9	3	3	1	4	2	7	11	3	1	5	1	2	2	4	4	4	4	3	7	5	1	92	19	8	5	6	4	4	0	1	2	3	5	4	0	2	1	1	3	3	5	0	1	8	52	3	2	1	1	2	6	0	4	6	4	7	3	5	2	4	2
OTU_31;size=3944;	36	61	25	19	83	56	29	58	119	8	95	130	35	71	21	10	4	14	60	5	15	5	39	117	23	40	61	101	36	29	31	35	53	29	57	67	30	85	175	161	11	14	4	31	78	307	32	31	21	35	20	54	83	102	43	45	48	10	5	10	17	5	22	11	109	12	18	26	60	37	19	34	39	59	22	43	41	36	47	125
OTU_71;size=1305;	12	26	16	7	43	32	8	26	14	28	43	1	2	0	11	22	17	23	10	9	32	19	20	4	2	3	2	1	1	3	0	4	0	0	5	7	1	0	2	2	14	6	9	9	8	1	21	10	20	10	7	21	32	45	17	21	19	7	11	22	31	2	28	9	0	12	0	3	7	1	0	0	13	8	1	5	0	0	9	0
OTU_4029;size=64;	15	29	14	11	41	38	10	15	9	194	54	10	39	2	361	173	179	207	38	167	298	284	28	3	19	25	5	4	3	2	1	8	4	4	4	7	3	8	10	2	158	116	64	8	12	10	20	11	17	8	6	32	49	43	16	13	5	167	102	282	35	1	345	145	4	164	6	9	4	20	1	3	12	8	1	6	1	5	13	6
OTU_160;size=227;	1	2	1	2	6	6	7	12	0	6	12	14	0	9	2	2	2	1	2	4	3	2	8	13	0	0	6	10	2	0	3	1	0	3	1	0	2	13	18	21	8	1	0	0	1	29	1	0	2	0	1	3	7	5	4	6	0	1	1	7	6	0	1	4	10	2	0	1	1	0	5	4	0	0	2	0	3	2	1	12
OTU_49;size=2230;	49	62	42	28	73	65	22	35	96	43	95	24	78	10	33	16	25	26	92	1	26	21	32	32	57	55	48	27	54	22	21	49	30	19	51	56	30	79	37	44	18	68	32	29	47	58	38	27	37	42	11	46	74	92	27	17	20	26	9	42	34	70	59	19	26	17	10	23	38	50	5	34	49	47	34	32	28	45	61	31
OTU_1314;size=32;	12	15	14	6	3	5	0	7	6	8	9	3	2	0	2	3	4	1	3	1	2	1	1	3	2	1	2	3	1	0	0	3	2	3	0	3	0	2	2	4	5	5	2	3	2	7	8	9	6	11	10	13	5	6	5	2	2	6	3	2	2	5	7	4	8	4	1	0	4	2	0	2	2	2	3	3	1	2	2	5
OTU_2321;size=6;	4	7	1	0	0	4	1	0	0	1	2	0	0	1	1	0	0	0	2	0	0	0	3	1	0	0	4	3	2	0	1	1	0	1	3	2	0	2	6	3	3	0	1	0	0	2	2	2	0	4	1	7	1	0	1	0	1	0	1	4	0	4	2	2	1	2	0	0	0	0	0	3	2	1	0	0	1	1	1	5
OTU_67;size=678;	6	10	9	4	16	14	48	83	4	16	12	16	1	10	1	3	5	12	3	5	28	15	74	13	1	0	3	10	1	2	0	3	2	0	4	7	1	5	12	18	7	3	0	5	5	29	6	4	3	6	3	3	10	14	68	47	74	4	8	21	42	0	16	3	15	16	0	2	3	1	2	1	1	1	2	1	4	1	4	20
OTU_78;size=1684;	20	24	11	12	26	18	17	27	25	24	28	9	6	6	31	19	16	11	12	3	15	9	10	7	3	6	17	7	20	11	8	4	8	7	14	14	13	23	14	15	51	27	23	10	23	24	14	13	17	14	10	20	28	30	21	14	30	23	15	23	15	33	28	33	13	11	9	10	22	7	0	17	10	13	6	12	11	5	17	12
OTU_4081;size=12;	35	31	22	23	24	22	8	15	68	60	32	5	27	3	109	24	20	16	50	12	18	14	62	9	31	27	5	5	6	17	4	23	1	8	37	41	4	11	10	7	249	95	71	27	79	12	24	15	32	31	10	34	14	27	11	6	10	23	14	48	51	98	54	116	9	13	10	27	38	32	1	5	33	32	2	24	2	31	40	8
OTU_2393;size=17;	2	0	1	0	0	0	0	1	2	3	0	0	0	0	0	1	2	0	0	0	2	1	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	2	0	1	1	2	1	0	1	2	2	0	3	1	0	0	2	0	1	2	1	0	1	1	2	0	0	2	0	1	0	2	2	0	0	0	0	0	0
OTU_133;size=830;	12	4	6	4	10	14	4	5	8	2	9	5	4	2	1	1	1	3	1	0	7	4	29	3	0	0	3	3	2	1	1	3	5	0	5	7	2	6	8	2	0	9	3	1	4	9	10	7	10	9	8	16	11	20	3	2	1	6	0	1	13	6	2	0	11	1	0	0	3	0	1	0	3	8	1	2	2	4	6	6
OTU_55;size=2056;	26	31	34	21	55	43	23	59	47	71	50	13	17	10	78	45	32	40	17	23	47	44	25	9	8	14	8	17	7	11	2	22	9	6	27	31	13	21	21	12	92	69	43	39	58	23	21	14	23	22	14	27	63	73	49	30	33	52	35	83	35	48	71	64	14	32	8	28	36	15	2	11	25	19	3	15	5	21	35	10
OTU_89;size=665;	25	14	16	4	12	12	16	23	10	14	18	23	0	6	9	4	8	16	0	0	29	19	30	14	0	1	15	19	10	3	6	1	7	3	1	8	6	22	33	31	19	27	14	3	11	58	10	8	6	13	11	18	18	20	17	21	7	3	1	16	39	20	14	8	31	9	2	3	7	1	10	5	1	6	8	2	8	2	2	32
OTU_374;size=201;	4	3	4	1	6	3	3	5	18	11	5	3	5	1	41	6	2	4	9	2	3	2	1	0	5	7	3	0	1	4	1	8	2	0	4	10	2	3	0	3	32	27	7	9	22	4	1	1	7	1	0	3	4	3	5	7	4	7	6	7	5	12	9	26	1	5	5	8	14	8	0	2	10	9	2	8	2	7	7	1
OTU_277;size=166;	19	11	12	7	0	2	0	4	5	2	6	1	2	0	0	0	1	0	5	0	0	2	1	3	1	2	1	3	0	3	1	8	2	2	7	7	0	4	4	5	1	2	2	1	3	6	15	9	9	17	10	13	2	4	3	1	1	0	0	1	2	0	1	0	5	0	1	1	3	2	2	1	1	1	1	0	1	3	4	3
OTU_169;size=1035;	22	34	22	11	34	34	18	43	34	53	47	11	11	6	57	18	17	15	15	11	24	10	25	13	9	10	4	12	6	7	4	5	6	0	18	17	5	13	19	21	52	9	8	12	17	26	22	16	19	11	12	32	44	36	40	39	30	46	36	55	10	2	28	43	15	20	6	9	9	7	4	4	16	17	2	13	9	9	17	6
OTU_172;size=616;	8	9	4	4	0	6	8	18	7	43	5	27	0	6	28	5	6	9	0	6	10	3	19	33	0	1	10	8	4	3	0	3	9	3	5	3	4	16	27	33	24	18	11	5	6	37	3	2	10	4	3	10	2	3	8	11	8	8	6	40	14	7	10	16	27	6	0	5	4	1	8	12	5	2	7	3	6	6	4	18
OTU_35;size=1845;	53	59	50	25	27	19	82	154	57	4	20	49	11	28	1	5	5	4	17	1	4	4	28	38	6	10	5	114	7	7	4	17	8	5	33	29	5	26	106	131	15	7	1	15	15	225	52	29	26	59	19	17	16	25	111	90	97	6	5	2	36	2	24	3	72	29	5	4	5	5	9	8	20	20	9	11	8	18	29	108
OTU_154;size=897;	12	12	16	10	16	18	9	15	9	12	25	15	12	16	10	2	6	6	19	0	5	8	10	25	11	15	14	12	17	1	10	6	11	7	7	5	4	25	23	27	14	5	3	8	7	59	18	16	8	11	9	17	18	20	8	9	8	8	4	9	10	11	12	7	23	5	0	8	3	9	8	13	4	8	8	3	13	4	7	14
OTU_447;size=54;	2	7	4	1	0	0	0	0	3	7	0	1	0	0	2	1	0	1	1	0	0	0	0	4	0	0	6	4	3	1	2	0	2	2	0	1	4	4	3	2	2	0	1	0	1	8	3	2	3	6	1	1	0	0	1	0	2	3	2	1	0	0	2	0	0	0	0	0	0	1	0	4	0	0	1	2	1	0	0	3
OTU_671;size=51;	2	4	1	0	3	3	1	0	1	1	2	0	0	0	0	0	0	1	0	1	3	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	3	1	0	1	1	3	1	0	0	1	0	3	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0
OTU_224;size=252;	7	8	10	4	4	1	1	1	14	2	3	5	2	3	1	2	2	0	0	0	0	0	1	11	1	2	5	6	2	1	1	3	4	1	4	4	2	5	1	7	3	12	9	1	1	6	4	4	4	1	2	8	2	2	2	2	6	0	0	0	6	12	7	3	4	2	0	1	2	4	0	1	7	7	1	2	4	3	4	2
OTU_45;size=1813;	33	23	12	13	35	33	27	46	6	55	56	8	9	2	73	141	112	182	15	98	216	313	31	6	13	13	1	4	2	1	1	4	2	1	3	2	2	4	6	5	20	29	15	13	12	11	12	20	17	10	13	25	30	41	34	25	31	107	62	72	19	1	225	26	11	129	2	5	12	10	4	2	1	6	3	1	2	2	3	7
OTU_101;size=1040;	5	13	10	6	13	14	14	22	8	82	20	1	4	6	79	18	22	20	5	22	54	59	30	6	2	5	0	4	4	2	1	1	1	0	5	5	3	4	7	7	36	29	18	12	19	13	8	3	6	9	3	19	10	21	23	25	30	47	27	82	20	0	32	26	8	30	4	10	7	5	1	3	2	5	1	4	3	2	5	8
OTU_102;size=482;	42	40	38	29	32	25	15	13	72	4	48	72	50	35	1	7	5	3	62	3	7	11	6	69	36	29	128	47	142	25	63	34	89	78	36	38	97	185	93	91	8	11	8	55	78	128	28	26	32	30	16	42	20	27	15	12	15	3	1	3	7	8	8	1	71	3	26	53	57	48	20	97	35	22	76	17	96	24	29	80
OTU_299;size=593;	5	8	4	2	9	4	4	7	30	10	12	5	6	3	12	8	4	2	11	2	6	9	10	4	5	5	18	1	8	5	4	8	15	8	17	11	8	12	4	3	26	10	8	11	20	10	4	1	9	5	1	7	10	18	11	5	6	13	3	27	12	4	3	12	7	4	5	3	13	5	1	7	14	13	12	10	10	13	13	7
OTU_295;size=236;	11	10	9	5	2	5	0	4	9	7	12	6	0	3	2	1	0	4	1	3	2	4	5	4	1	1	4	3	6	3	5	3	2	4	4	4	3	10	8	8	12	11	6	3	4	10	10	4	4	8	6	12	7	5	8	4	4	1	3	2	5	16	3	4	5	2	0	0	0	0	1	4	5	1	3	1	3	5	5	1
OTU_294;size=574;	50	61	38	42	8	7	9	9	11	4	5	8	3	3	2	1	5	2	1	1	2	3	2	7	0	6	10	10	7	3	2	7	3	0	6	5	0	8	9	12	8	10	5	8	5	15	46	31	42	52	27	50	6	7	6	5	2	10	5	4	1	11	3	6	6	2	1	0	6	0	2	5	3	3	3	1	7	5	11	13
OTU_3219;size=10;	2	4	3	2	6	4	3	0	6	0	6	7	0	3	8	1	2	0	1	0	0	0	3	4	0	1	6	3	1	4	2	1	3	3	1	3	0	6	5	8	8	1	0	1	3	15	6	6	3	4	4	3	3	7	1	2	1	0	1	2	1	1	5	4	10	1	0	0	0	0	0	1	1	4	5	2	2	3	0	7
